Timestamp,Hour,Plant_Type,Growth_Stage,NDVI_Camera_Index,Sunlight_Actual,Sunlight_Forecast,Price_PLN_kWh,CO2_g_kWh,Target_DLI,Max_Threshold_Lux
2026-01-01 20:00:00,20,Primula,0.92,0.74,0.0,0.0,1.18,996,20.56,400
2026-01-01 21:00:00,21,Orchid,0.24,0.15,0.0,0.0,0.5,568,3.92,200
2026-01-01 22:00:00,22,Orchid,0.62,0.45,0.0,0.0,0.56,569,6.96,200
2026-01-01 23:00:00,23,Orchid,0.84,0.7,0.0,0.0,0.48,478,8.72,200
2026-01-02 00:00:00,0,Tomato,0.52,0.43,0.0,0.0,0.57,483,20.4,800
2026-01-02 01:00:00,1,Aglaonema,0.91,0.76,0.0,0.0,0.53,577,13.1,600
2026-01-02 02:00:00,2,Aglaonema,0.47,0.36,0.0,0.0,0.5,657,8.7,600
2026-01-02 03:00:00,3,Aglaonema,0.05,0.03,0.0,0.0,0.55,590,4.5,600
2026-01-02 04:00:00,4,Tomato,0.72,0.59,0.0,0.0,0.55,586,24.4,800
2026-01-02 05:00:00,5,Primula,0.28,0.23,0.0,0.0,0.6,690,9.04,400
2026-01-02 06:00:00,6,Primula,0.93,0.78,0.0,0.0,0.47,476,20.74,400
2026-01-02 07:00:00,7,Orchid,0.16,0.12,0.0,0.0,1.32,1087,3.28,200
2026-01-02 08:00:00,8,Tomato,0.32,0.24,356.01,323.25,1.04,889,16.4,800
2026-01-02 09:00:00,9,Orchid,0.45,0.33,23.57,22.13,1.4,909,5.6,200
2026-01-02 10:00:00,10,Aglaonema,0.29,0.27,484.9,450.83,0.58,747,6.9,600
2026-01-02 11:00:00,11,Primula,0.05,0.07,245.37,263.58,0.57,480,4.9,400
2026-01-02 12:00:00,12,Primula,0.09,0.03,515.48,534.09,0.62,616,5.62,400
2026-01-02 13:00:00,13,Tomato,0.59,0.51,676.79,617.9,0.49,644,21.8,800
2026-01-02 14:00:00,14,Aglaonema,0.49,0.35,676.48,650.74,0.55,732,8.9,600
2026-01-02 15:00:00,15,Aglaonema,0.59,0.46,497.15,523.44,0.55,658,9.9,600
2026-01-02 16:00:00,16,Orchid,0.36,0.31,12.2,14.01,0.61,501,4.88,200
2026-01-02 17:00:00,17,Primula,0.3,0.27,294.96,316.05,1.28,900,9.4,400
2026-01-02 18:00:00,18,Primula,0.9,0.76,57.32,58.73,1.29,1100,20.2,400
2026-01-02 19:00:00,19,Orchid,0.54,0.48,0.0,0.0,1.02,864,6.32,200
2026-01-02 20:00:00,20,Tomato,0.4,0.3,0.0,0.0,1.34,1012,18.0,800
2026-01-02 21:00:00,21,Tomato,0.17,0.14,0.0,0.0,0.53,727,13.4,800
2026-01-02 22:00:00,22,Tomato,0.14,0.15,0.0,0.0,0.48,732,12.8,800
2026-01-02 23:00:00,23,Aglaonema,0.06,0.08,0.0,0.0,0.59,529,4.6,600
2026-01-03 00:00:00,0,Tomato,0.83,0.63,0.0,0.0,0.44,698,26.6,800
2026-01-03 01:00:00,1,Aglaonema,0.33,0.24,0.0,0.0,0.41,689,7.3,600
2026-01-03 02:00:00,2,Tomato,0.07,0.09,0.0,0.0,0.55,657,11.4,800
2026-01-03 03:00:00,3,Orchid,0.38,0.32,0.0,0.0,0.59,750,5.04,200
2026-01-03 04:00:00,4,Primula,0.58,0.45,0.0,0.0,0.52,750,14.44,400
2026-01-03 05:00:00,5,Aglaonema,0.16,0.13,0.0,0.0,0.52,727,5.6,600
2026-01-03 06:00:00,6,Tomato,0.77,0.6,0.0,0.0,0.55,679,25.4,800
2026-01-03 07:00:00,7,Orchid,0.73,0.62,0.0,0.0,1.39,1095,7.84,200
2026-01-03 08:00:00,8,Primula,0.15,0.12,143.74,148.58,1.33,901,6.7,400
2026-01-03 09:00:00,9,Aglaonema,0.65,0.53,527.87,554.11,1.38,900,10.5,600
2026-01-03 10:00:00,10,Aglaonema,0.32,0.27,347.88,358.84,0.63,495,7.2,600
2026-01-03 11:00:00,11,Aglaonema,0.8,0.63,557.48,602.32,0.53,602,12.0,600
2026-01-03 12:00:00,12,Orchid,0.11,0.12,229.96,245.13,0.56,626,2.88,200
2026-01-03 13:00:00,13,Tomato,0.17,0.18,701.41,718.06,0.53,629,13.4,800
2026-01-03 14:00:00,14,Orchid,0.3,0.26,187.76,215.53,0.62,718,4.4,200
2026-01-03 15:00:00,15,Tomato,0.97,0.79,728.99,700.71,0.57,573,29.4,800
2026-01-03 16:00:00,16,Orchid,0.09,0.05,268.6,249.89,0.42,483,2.72,200
2026-01-03 17:00:00,17,Tomato,0.85,0.66,333.43,377.5,1.25,1008,27.0,800
2026-01-03 18:00:00,18,Orchid,0.51,0.45,63.09,66.54,1.02,952,6.08,200
2026-01-03 19:00:00,19,Primula,0.22,0.18,0.0,0.0,1.04,1055,7.96,400
2026-01-03 20:00:00,20,Aglaonema,0.2,0.15,0.0,0.0,1.32,1023,6.0,600
2026-01-03 21:00:00,21,Primula,0.62,0.53,0.0,0.0,0.47,604,15.16,400
2026-01-03 22:00:00,22,Orchid,0.94,0.7,0.0,0.0,0.46,630,9.52,200
2026-01-03 23:00:00,23,Primula,0.82,0.62,0.0,0.0,0.58,452,18.76,400
2026-01-04 00:00:00,0,Tomato,0.17,0.14,0.0,0.0,0.61,508,13.4,800
2026-01-04 01:00:00,1,Primula,0.89,0.76,0.0,0.0,0.56,577,20.02,400
2026-01-04 02:00:00,2,Tomato,0.71,0.54,0.0,0.0,0.59,649,24.2,800
2026-01-04 03:00:00,3,Orchid,0.26,0.25,0.0,0.0,0.62,586,4.08,200
2026-01-04 04:00:00,4,Aglaonema,0.58,0.42,0.0,0.0,0.61,660,9.8,600
2026-01-04 05:00:00,5,Orchid,0.51,0.38,0.0,0.0,0.64,517,6.08,200
2026-01-04 06:00:00,6,Primula,0.59,0.51,118.55,107.72,0.61,454,14.62,400
2026-01-04 07:00:00,7,Primula,0.28,0.27,88.54,82.53,1.21,885,9.04,400
2026-01-04 08:00:00,8,Primula,0.25,0.16,89.83,79.25,1.24,866,8.5,400
2026-01-04 09:00:00,9,Aglaonema,0.11,0.04,414.3,446.77,1.31,970,5.1,600
2026-01-04 10:00:00,10,Primula,0.66,0.54,336.24,328.33,0.43,461,15.88,400
2026-01-04 11:00:00,11,Tomato,0.38,0.3,818.85,893.6,0.46,523,17.6,800
2026-01-04 12:00:00,12,Primula,0.89,0.71,251.2,280.49,0.42,639,20.02,400
2026-01-04 13:00:00,13,Tomato,0.43,0.37,856.1,958.79,0.43,673,18.6,800
2026-01-04 14:00:00,14,Aglaonema,0.47,0.41,419.22,467.48,0.58,701,8.7,600
2026-01-04 15:00:00,15,Tomato,0.55,0.41,807.27,884.35,0.47,494,21.0,800
2026-01-04 16:00:00,16,Tomato,0.43,0.31,678.77,711.51,0.47,505,18.6,800
2026-01-04 17:00:00,17,Primula,0.34,0.31,187.96,163.78,1.37,892,10.12,400
2026-01-04 18:00:00,18,Aglaonema,0.54,0.46,133.35,125.66,1.21,896,9.4,600
2026-01-04 19:00:00,19,Primula,0.88,0.74,132.43,132.65,1.26,955,19.84,400
2026-01-04 20:00:00,20,Primula,0.74,0.59,0.0,0.0,1.37,860,17.32,400
2026-01-04 21:00:00,21,Tomato,0.49,0.39,0.0,0.0,0.49,700,19.8,800
2026-01-04 22:00:00,22,Aglaonema,0.58,0.48,0.0,0.0,0.43,662,9.8,600
2026-01-04 23:00:00,23,Orchid,0.76,0.59,0.0,0.0,0.49,650,8.08,200
2026-01-05 00:00:00,0,Tomato,0.31,0.23,0.0,0.0,0.41,563,16.2,800
2026-01-05 01:00:00,1,Aglaonema,0.33,0.24,0.0,0.0,0.56,585,7.3,600
2026-01-05 02:00:00,2,Tomato,0.7,0.54,0.0,0.0,0.55,722,24.0,800
2026-01-05 03:00:00,3,Primula,0.37,0.25,0.0,0.0,0.49,541,10.66,400
2026-01-05 04:00:00,4,Aglaonema,0.17,0.14,0.0,0.0,0.63,592,5.7,600
2026-01-05 05:00:00,5,Aglaonema,0.29,0.2,0.0,0.0,0.5,507,6.9,600
2026-01-05 06:00:00,6,Tomato,0.48,0.36,0.0,0.0,0.64,655,19.6,800
2026-01-05 07:00:00,7,Tomato,0.51,0.45,229.14,230.71,1.12,914,20.2,800
2026-01-05 08:00:00,8,Orchid,0.18,0.16,0.0,0.0,1.18,935,3.44,200
2026-01-05 09:00:00,9,Aglaonema,0.92,0.76,400.55,434.7,1.03,875,13.2,600
2026-01-05 10:00:00,10,Primula,0.68,0.53,327.23,351.76,0.41,742,16.24,400
2026-01-05 11:00:00,11,Tomato,0.69,0.52,674.93,598.99,0.44,647,23.8,800
2026-01-05 12:00:00,12,Primula,0.47,0.36,247.11,259.93,0.58,750,12.46,400
2026-01-05 13:00:00,13,Aglaonema,0.31,0.26,526.44,512.63,0.43,531,7.1,600
2026-01-05 14:00:00,14,Aglaonema,0.69,0.5,681.15,685.83,0.46,709,10.9,600
2026-01-05 15:00:00,15,Tomato,0.65,0.48,600.75,668.92,0.51,502,23.0,800
2026-01-05 16:00:00,16,Aglaonema,0.56,0.48,263.76,294.21,0.43,668,9.6,600
2026-01-05 17:00:00,17,Tomato,0.5,0.37,370.4,390.98,1.09,910,20.0,800
2026-01-05 18:00:00,18,Tomato,0.39,0.3,259.07,276.47,0.99,1054,17.8,800
2026-01-05 19:00:00,19,Primula,0.76,0.62,70.43,64.35,1.0,920,17.68,400
2026-01-05 20:00:00,20,Orchid,0.89,0.72,0.0,0.0,1.22,1074,9.12,200
2026-01-05 21:00:00,21,Primula,0.19,0.11,0.0,0.0,0.63,577,7.42,400
2026-01-05 22:00:00,22,Tomato,0.74,0.59,0.0,0.0,0.63,457,24.8,800
2026-01-05 23:00:00,23,Aglaonema,0.91,0.77,0.0,0.0,0.5,676,13.1,600
2026-01-06 00:00:00,0,Aglaonema,0.91,0.74,0.0,0.0,0.51,654,13.1,600
2026-01-06 01:00:00,1,Orchid,0.88,0.75,0.0,0.0,0.44,574,9.04,200
2026-01-06 02:00:00,2,Primula,0.08,0.08,0.0,0.0,0.56,716,5.44,400
2026-01-06 03:00:00,3,Primula,0.2,0.14,0.0,0.0,0.41,679,7.6,400
2026-01-06 04:00:00,4,Orchid,0.32,0.3,0.0,0.0,0.56,494,4.56,200
2026-01-06 05:00:00,5,Aglaonema,0.91,0.77,0.0,0.0,0.43,657,13.1,600
2026-01-06 06:00:00,6,Tomato,0.57,0.5,139.68,139.38,0.41,602,21.4,800
2026-01-06 07:00:00,7,Orchid,0.33,0.24,8.28,7.68,1.1,1037,4.64,200
2026-01-06 08:00:00,8,Orchid,0.13,0.07,225.67,244.99,1.03,1037,3.04,200
2026-01-06 09:00:00,9,Orchid,0.23,0.2,29.99,31.53,1.21,885,3.84,200
2026-01-06 10:00:00,10,Primula,0.88,0.71,459.17,497.46,0.41,747,19.84,400
2026-01-06 11:00:00,11,Primula,0.67,0.5,352.66,347.47,0.6,523,16.06,400
2026-01-06 12:00:00,12,Aglaonema,0.97,0.81,523.42,580.2,0.62,670,13.7,600
2026-01-06 13:00:00,13,Tomato,0.52,0.43,898.4,785.35,0.61,614,20.4,800
2026-01-06 14:00:00,14,Tomato,0.86,0.72,684.4,740.52,0.46,487,27.2,800
2026-01-06 15:00:00,15,Tomato,1.0,0.81,548.83,486.47,0.61,451,30.0,800
2026-01-06 16:00:00,16,Tomato,0.81,0.65,468.06,438.8,0.64,552,26.2,800
2026-01-06 17:00:00,17,Primula,0.24,0.16,115.98,119.28,1.36,1037,8.32,400
2026-01-06 18:00:00,18,Aglaonema,0.35,0.32,139.3,131.82,1.14,1090,7.5,600
2026-01-06 19:00:00,19,Primula,0.14,0.13,0.0,0.0,1.17,1062,6.52,400
2026-01-06 20:00:00,20,Orchid,0.71,0.53,0.0,0.0,0.95,1082,7.68,200
2026-01-06 21:00:00,21,Orchid,0.72,0.57,0.0,0.0,0.44,510,7.76,200
2026-01-06 22:00:00,22,Aglaonema,0.5,0.41,0.0,0.0,0.54,648,9.0,600
2026-01-06 23:00:00,23,Aglaonema,0.27,0.2,0.0,0.0,0.53,547,6.7,600
2026-01-07 00:00:00,0,Orchid,0.87,0.67,0.0,0.0,0.49,509,8.96,200
2026-01-07 01:00:00,1,Tomato,0.83,0.64,0.0,0.0,0.46,742,26.6,800
2026-01-07 02:00:00,2,Tomato,0.12,0.11,0.0,0.0,0.56,607,12.4,800
2026-01-07 03:00:00,3,Orchid,0.76,0.57,0.0,0.0,0.44,534,8.08,200
2026-01-07 04:00:00,4,Tomato,0.72,0.6,0.0,0.0,0.54,535,24.4,800
2026-01-07 05:00:00,5,Primula,0.07,0.03,0.0,0.0,0.46,679,5.26,400
2026-01-07 06:00:00,6,Tomato,0.53,0.43,42.72,42.85,0.53,476,20.6,800
2026-01-07 07:00:00,7,Primula,0.87,0.74,12.65,14.26,1.08,933,19.66,400
2026-01-07 08:00:00,8,Primula,0.08,0.07,286.38,307.63,1.38,922,5.44,400
2026-01-07 09:00:00,9,Primula,0.46,0.34,125.76,112.8,1.09,902,12.28,400
2026-01-07 10:00:00,10,Primula,0.69,0.6,220.58,249.3,0.43,553,16.42,400
2026-01-07 11:00:00,11,Orchid,0.46,0.32,192.23,176.06,0.62,468,5.68,200
2026-01-07 12:00:00,12,Primula,0.13,0.15,435.05,379.07,0.4,742,6.34,400
2026-01-07 13:00:00,13,Orchid,0.13,0.09,288.22,258.76,0.55,744,3.04,200
2026-01-07 14:00:00,14,Tomato,0.94,0.73,668.76,727.35,0.55,498,28.8,800
2026-01-07 15:00:00,15,Aglaonema,0.61,0.44,485.72,488.1,0.4,589,10.1,600
2026-01-07 16:00:00,16,Tomato,0.72,0.63,508.71,450.23,0.47,705,24.4,800
2026-01-07 17:00:00,17,Primula,0.43,0.35,213.02,218.01,1.07,947,11.74,400
2026-01-07 18:00:00,18,Tomato,0.4,0.36,169.57,166.37,0.99,906,18.0,800
2026-01-07 19:00:00,19,Tomato,0.82,0.61,0.0,0.0,1.2,970,26.4,800
2026-01-07 20:00:00,20,Primula,0.99,0.8,0.0,0.0,1.28,896,21.82,400
2026-01-07 21:00:00,21,Primula,0.09,0.09,0.0,0.0,0.48,591,5.62,400
2026-01-07 22:00:00,22,Aglaonema,0.38,0.26,0.0,0.0,0.49,714,7.8,600
2026-01-07 23:00:00,23,Aglaonema,0.56,0.47,0.0,0.0,0.53,525,9.6,600
2026-01-08 00:00:00,0,Aglaonema,0.68,0.55,0.0,0.0,0.44,584,10.8,600
2026-01-08 01:00:00,1,Primula,0.77,0.64,0.0,0.0,0.55,494,17.86,400
2026-01-08 02:00:00,2,Tomato,0.67,0.57,0.0,0.0,0.63,456,23.4,800
2026-01-08 03:00:00,3,Primula,0.89,0.7,0.0,0.0,0.44,541,20.02,400
2026-01-08 04:00:00,4,Tomato,0.39,0.31,0.0,0.0,0.63,521,17.8,800
2026-01-08 05:00:00,5,Tomato,0.51,0.39,0.0,0.0,0.64,642,20.2,800
2026-01-08 06:00:00,6,Primula,0.45,0.36,66.87,73.17,0.56,486,12.1,400
2026-01-08 07:00:00,7,Tomato,0.7,0.6,95.83,97.95,1.07,967,24.0,800
2026-01-08 08:00:00,8,Primula,0.91,0.68,285.19,250.05,1.42,955,20.38,400
2026-01-08 09:00:00,9,Aglaonema,0.24,0.19,493.88,424.4,1.13,966,6.4,600
2026-01-08 10:00:00,10,Primula,0.43,0.35,305.65,301.66,0.63,643,11.74,400
2026-01-08 11:00:00,11,Aglaonema,0.72,0.62,655.54,657.62,0.6,729,11.2,600
2026-01-08 12:00:00,12,Tomato,0.76,0.66,805.47,684.98,0.42,549,25.2,800
2026-01-08 13:00:00,13,Tomato,0.58,0.42,727.93,636.06,0.51,668,21.6,800
2026-01-08 14:00:00,14,Aglaonema,0.75,0.59,480.54,546.41,0.47,505,11.5,600
2026-01-08 15:00:00,15,Aglaonema,0.78,0.67,565.17,647.74,0.46,658,11.8,600
2026-01-08 16:00:00,16,Tomato,0.52,0.4,383.15,412.91,0.6,550,20.4,800
2026-01-08 17:00:00,17,Aglaonema,0.66,0.57,288.7,313.59,0.99,923,10.6,600
2026-01-08 18:00:00,18,Aglaonema,0.82,0.65,217.17,198.89,1.13,966,12.2,600
2026-01-08 19:00:00,19,Primula,0.31,0.2,77.06,69.22,1.44,909,9.58,400
2026-01-08 20:00:00,20,Orchid,0.68,0.5,0.0,0.0,1.13,1085,7.44,200
2026-01-08 21:00:00,21,Tomato,0.36,0.33,0.0,0.0,0.61,453,17.2,800
2026-01-08 22:00:00,22,Orchid,0.35,0.25,0.0,0.0,0.63,613,4.8,200
2026-01-08 23:00:00,23,Orchid,0.75,0.61,0.0,0.0,0.48,539,8.0,200
2026-01-09 00:00:00,0,Aglaonema,0.96,0.79,0.0,0.0,0.63,666,13.6,600
2026-01-09 01:00:00,1,Primula,0.33,0.23,0.0,0.0,0.58,607,9.94,400
2026-01-09 02:00:00,2,Orchid,0.62,0.54,0.0,0.0,0.59,740,6.96,200
2026-01-09 03:00:00,3,Primula,0.71,0.54,0.0,0.0,0.64,563,16.78,400
2026-01-09 04:00:00,4,Tomato,0.4,0.29,0.0,0.0,0.44,579,18.0,800
2026-01-09 05:00:00,5,Tomato,0.81,0.62,0.0,0.0,0.43,456,26.2,800
2026-01-09 06:00:00,6,Primula,0.23,0.17,134.18,147.26,0.49,566,8.14,400
2026-01-09 07:00:00,7,Aglaonema,0.94,0.72,246.83,213.44,1.4,877,13.4,600
2026-01-09 08:00:00,8,Primula,0.2,0.19,258.88,292.56,1.07,923,7.6,400
2026-01-09 09:00:00,9,Orchid,0.13,0.13,90.57,98.79,1.38,861,3.04,200
2026-01-09 10:00:00,10,Tomato,0.33,0.24,733.91,831.7,0.56,591,16.6,800
2026-01-09 11:00:00,11,Tomato,0.9,0.76,888.44,876.58,0.5,564,28.0,800
2026-01-09 12:00:00,12,Orchid,0.21,0.12,279.13,245.6,0.54,485,3.68,200
2026-01-09 13:00:00,13,Tomato,0.3,0.21,738.61,661.34,0.41,717,16.0,800
2026-01-09 14:00:00,14,Tomato,0.11,0.1,819.99,720.62,0.42,521,12.2,800
2026-01-09 15:00:00,15,Orchid,0.08,0.1,214.54,206.01,0.61,618,2.64,200
2026-01-09 16:00:00,16,Aglaonema,0.13,0.08,311.3,342.71,0.62,683,5.3,600
2026-01-09 17:00:00,17,Primula,0.72,0.55,201.56,195.81,1.3,889,16.96,400
2026-01-09 18:00:00,18,Aglaonema,0.38,0.28,223.38,233.23,1.41,879,7.8,600
2026-01-09 19:00:00,19,Aglaonema,0.66,0.5,26.79,23.94,1.33,909,10.6,600
2026-01-09 20:00:00,20,Primula,0.36,0.28,0.0,0.0,1.44,1096,10.48,400
2026-01-09 21:00:00,21,Primula,0.93,0.78,0.0,0.0,0.46,514,20.74,400
2026-01-09 22:00:00,22,Primula,0.63,0.55,0.0,0.0,0.51,454,15.34,400
2026-01-09 23:00:00,23,Primula,0.82,0.66,0.0,0.0,0.61,568,18.76,400
2026-01-10 00:00:00,0,Orchid,0.18,0.14,0.0,0.0,0.63,618,3.44,200
2026-01-10 01:00:00,1,Orchid,0.6,0.47,0.0,0.0,0.6,614,6.8,200
2026-01-10 02:00:00,2,Tomato,0.42,0.3,0.0,0.0,0.48,655,18.4,800
2026-01-10 03:00:00,3,Primula,0.51,0.44,0.0,0.0,0.55,478,13.18,400
2026-01-10 04:00:00,4,Primula,0.45,0.39,0.0,0.0,0.64,516,12.1,400
2026-01-10 05:00:00,5,Primula,0.82,0.66,0.0,0.0,0.48,655,18.76,400
2026-01-10 06:00:00,6,Orchid,0.55,0.48,0.0,0.0,0.47,567,6.4,200
2026-01-10 07:00:00,7,Orchid,0.61,0.49,170.46,175.05,1.09,854,6.88,200
2026-01-10 08:00:00,8,Orchid,0.2,0.19,195.25,177.76,1.19,1080,3.6,200
2026-01-10 09:00:00,9,Tomato,0.71,0.58,543.73,467.26,1.09,1054,24.2,800
2026-01-10 10:00:00,10,Primula,0.57,0.43,242.67,274.72,0.52,662,14.26,400
2026-01-10 11:00:00,11,Tomato,0.75,0.63,746.57,727.1,0.45,581,25.0,800
2026-01-10 12:00:00,12,Primula,0.12,0.07,413.58,467.92,0.48,714,6.16,400
2026-01-10 13:00:00,13,Aglaonema,0.53,0.39,478.42,429.1,0.44,695,9.3,600
2026-01-10 14:00:00,14,Orchid,0.9,0.77,288.6,297.08,0.55,645,9.2,200
2026-01-10 15:00:00,15,Orchid,0.26,0.23,63.41,70.91,0.53,663,4.08,200
2026-01-10 16:00:00,16,Primula,0.38,0.29,298.32,302.38,0.63,593,10.84,400
2026-01-10 17:00:00,17,Primula,0.49,0.39,158.55,163.61,1.32,1017,12.82,400
2026-01-10 18:00:00,18,Tomato,0.75,0.55,196.0,202.76,1.15,978,25.0,800
2026-01-10 19:00:00,19,Aglaonema,0.58,0.49,118.72,105.83,1.4,1094,9.8,600
2026-01-10 20:00:00,20,Tomato,0.22,0.14,0.0,0.0,1.22,924,14.4,800
2026-01-10 21:00:00,21,Orchid,0.52,0.37,0.0,0.0,0.64,634,6.16,200
2026-01-10 22:00:00,22,Tomato,0.48,0.35,0.0,0.0,0.6,650,19.6,800
2026-01-10 23:00:00,23,Tomato,0.15,0.12,0.0,0.0,0.57,653,13.0,800
2026-01-11 00:00:00,0,Aglaonema,0.34,0.28,0.0,0.0,0.51,554,7.4,600
2026-01-11 01:00:00,1,Orchid,0.33,0.23,0.0,0.0,0.5,495,4.64,200
2026-01-11 02:00:00,2,Primula,0.35,0.24,0.0,0.0,0.56,489,10.3,400
2026-01-11 03:00:00,3,Primula,0.89,0.7,0.0,0.0,0.54,582,20.02,400
2026-01-11 04:00:00,4,Tomato,0.47,0.42,0.0,0.0,0.6,525,19.4,800
2026-01-11 05:00:00,5,Aglaonema,0.06,0.09,0.0,0.0,0.52,681,4.6,600
2026-01-11 06:00:00,6,Primula,0.95,0.77,0.0,0.0,0.48,720,21.1,400
2026-01-11 07:00:00,7,Tomato,0.68,0.5,271.32,267.9,1.42,866,23.6,800
2026-01-11 08:00:00,8,Aglaonema,0.11,0.06,305.13,339.24,1.41,1069,5.1,600
2026-01-11 09:00:00,9,Aglaonema,0.33,0.25,254.52,268.69,1.24,1005,7.3,600
2026-01-11 10:00:00,10,Primula,0.83,0.63,355.26,395.91,0.53,452,18.94,400
2026-01-11 11:00:00,11,Tomato,0.66,0.52,689.35,789.23,0.63,546,23.2,800
2026-01-11 12:00:00,12,Primula,0.64,0.5,424.75,446.69,0.53,680,15.52,400
2026-01-11 13:00:00,13,Primula,0.98,0.8,450.86,508.02,0.57,550,21.64,400
2026-01-11 14:00:00,14,Aglaonema,0.22,0.2,503.56,431.27,0.42,613,6.2,600
2026-01-11 15:00:00,15,Primula,0.34,0.31,308.37,348.36,0.52,708,10.12,400
2026-01-11 16:00:00,16,Orchid,0.5,0.36,10.07,9.49,0.4,683,6.0,200
2026-01-11 17:00:00,17,Aglaonema,0.16,0.09,344.64,380.35,1.44,1009,5.6,600
2026-01-11 18:00:00,18,Primula,0.45,0.34,0.0,0.0,0.98,910,12.1,400
2026-01-11 19:00:00,19,Tomato,0.39,0.29,117.2,127.96,1.07,898,17.8,800
2026-01-11 20:00:00,20,Tomato,0.36,0.28,0.0,0.0,1.18,850,17.2,800
2026-01-11 21:00:00,21,Aglaonema,0.13,0.12,0.0,0.0,0.43,622,5.3,600
2026-01-11 22:00:00,22,Primula,0.36,0.34,0.0,0.0,0.42,665,10.48,400
2026-01-11 23:00:00,23,Aglaonema,0.31,0.26,0.0,0.0,0.58,450,7.1,600
2026-01-12 00:00:00,0,Orchid,0.71,0.54,0.0,0.0,0.47,552,7.68,200
2026-01-12 01:00:00,1,Aglaonema,0.23,0.15,0.0,0.0,0.51,578,6.3,600
2026-01-12 02:00:00,2,Aglaonema,0.62,0.45,0.0,0.0,0.4,473,10.2,600
2026-01-12 03:00:00,3,Aglaonema,0.44,0.34,0.0,0.0,0.42,476,8.4,600
2026-01-12 04:00:00,4,Aglaonema,0.27,0.17,0.0,0.0,0.46,718,6.7,600
2026-01-12 05:00:00,5,Primula,0.68,0.55,0.0,0.0,0.49,461,16.24,400
2026-01-12 06:00:00,6,Primula,0.2,0.14,134.46,131.28,0.6,520,7.6,400
2026-01-12 07:00:00,7,Orchid,0.72,0.56,44.67,43.98,1.25,954,7.76,200
2026-01-12 08:00:00,8,Tomato,0.23,0.19,369.75,336.44,1.42,1013,14.6,800
2026-01-12 09:00:00,9,Orchid,0.12,0.14,161.16,172.86,0.97,859,2.96,200
2026-01-12 10:00:00,10,Primula,0.8,0.6,399.24,445.16,0.59,458,18.4,400
2026-01-12 11:00:00,11,Primula,0.12,0.08,517.66,548.99,0.52,748,6.16,400
2026-01-12 12:00:00,12,Primula,0.16,0.13,486.04,503.17,0.61,546,6.88,400
2026-01-12 13:00:00,13,Orchid,0.81,0.65,325.28,319.54,0.65,639,8.48,200
2026-01-12 14:00:00,14,Primula,0.07,0.07,477.08,458.49,0.62,590,5.26,400
2026-01-12 15:00:00,15,Tomato,0.73,0.54,514.22,557.57,0.6,634,24.6,800
2026-01-12 16:00:00,16,Orchid,0.62,0.48,247.07,249.52,0.55,723,6.96,200
2026-01-12 17:00:00,17,Aglaonema,0.26,0.17,220.94,222.29,1.38,1011,6.6,600
2026-01-12 18:00:00,18,Tomato,0.45,0.34,320.88,310.06,1.39,984,19.0,800
2026-01-12 19:00:00,19,Orchid,0.2,0.12,110.9,111.77,1.33,967,3.6,200
2026-01-12 20:00:00,20,Tomato,0.53,0.44,0.0,0.0,1.29,1007,20.6,800
